Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
06/09/2022,Bayern Munich,Inter Milan,2,0,H,17,9,7,3
06/09/2022,Man City,Sevilla,4,0,H,20,6,10,2
07/09/2022,Real Madrid,Leipzig,3,2,H,16,12,8,6
07/09/2022,Chelsea,AC Milan,1,0,H,13,10,5,4
13/09/2022,Liverpool,Ajax,2,1,H,15,11,7,5
13/09/2022,Atletico Madrid,Porto,2,1,H,14,10,6,4
14/09/2022,PSG,Juventus,2,1,H,16,11,7,5
14/09/2022,Dortmund,Man City,0,0,D,11,15,4,6
05/10/2022,Bayern Munich,Barcelona,2,0,H,16,9,7,3
05/10/2022,Chelsea,AC Milan,3,0,H,17,8,8,3
11/10/2022,Man City,Bayern Munich,1,1,D,14,15,6,7
11/10/2022,Liverpool,Rangers,2,0,H,15,7,7,2
12/10/2022,Real Madrid,Leipzig,2,0,H,14,10,6,4
12/10/2022,Barcelona,Inter Milan,3,3,D,17,13,9,8
25/10/2022,PSG,Benfica,1,1,D,13,12,5,5
25/10/2022,Bayern Munich,Man United,4,2,H,19,11,10,6
26/10/2022,Real Madrid,Chelsea,2,1,H,15,13,7,6
26/10/2022,Man City,Dortmund,2,1,H,17,11,7,5
01/11/2022,Liverpool,Atletico Madrid,2,0,H,16,9,7,3
01/11/2022,Inter Milan,Barcelona,1,0,H,12,14,5,6
02/11/2022,Bayern Munich,Inter Milan,3,0,H,18,8,9,3
02/11/2022,Chelsea,AC Milan,2,0,H,14,9,6,3
14/02/2023,PSG,Bayern Munich,0,1,A,10,16,3,7
14/02/2023,Liverpool,Real Madrid,2,5,A,13,18,6,11
15/02/2023,Man City,Leipzig,7,0,H,22,5,12,1
15/02/2023,Chelsea,Dortmund,0,1,A,11,14,4,6
07/03/2023,Bayern Munich,PSG,2,0,H,15,11,6,4
08/03/2023,Real Madrid,Liverpool,1,0,H,13,12,5,5
08/03/2023,Leipzig,Man City,1,1,D,10,17,4,8
08/03/2023,Dortmund,Chelsea,2,0,H,14,10,6,4
11/04/2023,Man City,Bayern Munich,3,0,H,18,11,9,4
11/04/2023,Real Madrid,Chelsea,2,0,H,14,10,6,4
12/04/2023,Inter Milan,Benfica,2,0,H,13,9,6,3
12/04/2023,AC Milan,Napoli,1,1,D,11,12,4,5
18/04/2023,Bayern Munich,Man City,1,1,D,14,16,6,7
19/04/2023,Chelsea,Real Madrid,2,0,H,15,11,7,4
26/04/2023,Inter Milan,AC Milan,2,0,H,14,10,6,4
09/05/2023,Man City,Real Madrid,4,0,H,19,9,10,3
10/05/2023,Inter Milan,AC Milan,1,0,H,12,11,5,4
17/05/2023,Real Madrid,Man City,1,1,D,13,16,5,7
10/06/2023,Man City,Inter Milan,1,0,H,14,11,6,4

